x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
0.3846153908296565 - 2.795123408238544e-15im,1.7126599925201084e-17 + 6.75334725185176e-16im,-0.2764423117970582 + 0.0902109802832913im,-0.2764423117970465 - 0.09021098028329148im,0.02403846105910693 + 0.02775722503161233im,0.02403846105908354 - 0.027757225031598783im,7.390987093021795e-17 + 1.0011852504298417e-16im,9.425686854204344e-20 - 9.064589702295833e-20im,3.0456938870885873e-16 + 3.506250168896782e-16im,-4.642692916685124e-16 - 1.8996364824878851e-16im,8.770319827408052e-16 - 1.1567730291875789e-15im,2.674104526610148e-16 - 1.0250535256032306e-15im,5.575519457449655e-18 + 3.943926708834512e-16im,-2.6466547444591203e-16 - 9.849911566391598e-17im,-5.021060609905446e-20 - 7.299066049685651e-20im,-1.1042242206594415e-19 - 6.632728626009487e-20im,7.1431291938349545e-19 - 1.143115955960458e-18im,-1.2055002467505783e-19 + 4.37344635201706e-19im,-5.229132989301282e-16 + 1.4920041476218282e-15im
1.7126599925201084e-17 + 5.938737259748138e-15im,0.38461537792297545 - 2.793286481959388e-15im,-0.27644230325397917 - 0.09021097874973676im,0.21634615092455237 + 0.19430056792378653im,0.012019230047654395 + 0.034696530714932866im,-0.03605769204612675 + 0.006939306802273394im,1.2912876920787326e-19 + 8.548236763365212e-20im,-2.3046290960119706e-16 - 4.599433425072369e-16im,3.324856727600312e-17 - 7.523742814740515e-16im,-5.193627015713174e-16 - 2.20855689950692e-16im,-1.4744395441704816e-19 + 1.465821050268767e-18im,6.150462686546192e-19 + 8.082468833144629e-19im,-2.9939065159389696e-19 - 1.6365205659898634e-18im,1.4551600155650108e-19 - 2.478795677773771e-18im,-1.920802260638926e-15 - 2.5832320907893694e-16im,1.718268959107812e-15 - 1.1946733622211822e-15im,-1.6878690181444708e-16 + 4.555607378589964e-16im,-3.167899461618091e-16 - 2.982092360824776e-17im,2.885324789275121e-15 + 8.065620486293286e-16im
-0.2764423117970582 - 0.09021098028328847im,-0.27644230325397917 + 0.09021097874973974im,0.4407051279578582 + 3.878455692786323e-15im,-0.024038456528680835 + 0.04163583961628502im,-0.028044870954729354 - 0.04857514330590896im,-1.8683679175225068e-14 + 1.0125751633141944e-14im,-3.3467549538772077e-16 - 2.042434043289853e-16im,1.5752424165918611e-16 + 1.6110634659509976e-16im,1.41148025087494e-16 + 2.5776939652846164e-16im,-1.8037051520962328e-16 - 4.2653222651238834e-16im,-7.149732346961433e-16 + 3.824107273198779e-16im,-3.5431891353564234e-16 + 5.2632320649213095e-16im,-1.9182494825614973e-16 - 9.53847319592721e-17im,-1.446874942412796e-19 + 1.2422402415167966e-19im,1.1915001298505926e-15 - 4.121684549601443e-16im,-8.310032968524097e-16 + 1.1215334231392896e-15im,6.49976186581522e-17 - 4.1182539641393e-16im,9.515937841998349e-20 - 3.772730408967185e-19im,-1.30088858826623e-15 + 9.366836356549995e-17im
-0.2764423117970465 + 0.09021098028328561im,0.21634615092455237 - 0.1943005679237836im,-0.024038456528680835 - 0.04163583961628732im,0.4407051279579063 - 1.936442887538174e-15im,-1.8683685774251894e-14 - 9.372227915644014e-15im,-0.028044870954703913 + 0.04857514330589069im,3.4477295131840385e-16 - 1.8592306843179788e-16im,1.7672177889646368e-16 + 3.6213174725261205e-16im,2.9845218512555165e-16 + 2.0807523548020716e-16im,-2.758933144732649e-16 - 1.9551333120328576e-16im,-4.776122028715046e-16 + 8.850091287720963e-16im,2.997413978372851e-16 + 6.808448363337432e-16im,-7.293633898091989e-19 + 9.846786475905433e-20im,-7.51497509659918e-17 + 3.111372251503577e-17im,-7.922191131265325e-16 + 1.0159093345469817e-15im,2.512667420174411e-16 - 1.6400298912749136e-15im,1.3451922099212572e-19 + 7.454912206001577e-19im,-2.6382893078019895e-16 + 3.7911240659845103e-16im,2.3283489187110382e-15 - 2.3055183887233824e-15im
0.02403846105910693 - 0.027757225031611214im,0.012019230047654395 - 0.03469653071493512im,-0.028044870954729354 + 0.048575143305906975im,-1.8683685774251894e-14 + 1.238667789277129e-14im,0.008012820513116714 + 4.7360164498472685e-15im,6.023492350348973e-17 + 1.5306137157443313e-13im,6.846053317931433e-17 - 1.8351599796774107e-16im,-9.113555353253818e-17 - 6.982471564827775e-17im,-5.919219951926528e-17 - 7.384109661370058e-17im,-1.1365755739084495e-19 + 1.5477598080964736e-19im,-5.611241413921644e-16 + 7.744515007236674e-17im,-6.45070771900046e-19 + 8.123477499886146e-19im,2.2871463835382377e-16 + 8.446231237495062e-17im,5.338124185863819e-19 + 1.7709785280305258e-19im,-2.600745241455777e-16 - 1.1979888337531466e-17im,-1.1781141007595033e-19 - 5.288227474781905e-19im,1.791506633419956e-16 - 9.707811179929802e-17im,4.811742498091946e-19 + 2.0857555523620603e-19im,1.821158187749535e-16 - 4.2890302094563303e-16im
0.02403846105908354 + 0.02775722503159991im,-0.03605769204612675 - 0.006939306802275658im,-1.8683679175225068e-14 - 1.1632369337282328e-14im,-0.028044870954703913 - 0.04857514330588706im,6.023492350348973e-17 - 1.479503384334912e-13im,0.008012820513108549 + 4.7359379263511655e-15im,-1.6151166044526848e-16 + 5.902697033084603e-17im,-6.915409250677066e-17 - 2.3568093414218185e-16im,1.690523783422861e-19 + 2.5768485342162423e-19im,-1.0201716851744375e-16 + 1.8496519636081267e-16im,3.3728241146479784e-20 - 3.9339774562096985e-19im,-2.876276886549613e-17 - 1.188326049629195e-16im,5.76633230348695e-19 - 3.122879243323172e-19im,6.180951079370634e-16 - 6.852471910212791e-17im,3.502876621198686e-19 - 3.831272839674703e-19im,1.1934282596592016e-16 + 7.153629529516519e-17im,2.258713723876688e-19 - 1.6966797606343235e-19im,-1.7812885489805467e-16 - 4.905492485070533e-16im,-3.005367057615805e-16 + 2.1014335480570835e-16im
7.390987093021795e-17 - 1.0084633401258147e-16im,1.2912876920787326e-19 - 1.2755167040241538e-19im,-3.3467549538772077e-16 + 2.048205664330067e-16im,3.4477295131840385e-16 + 1.864835123994796e-16im,6.846053317931433e-17 + 1.8367388213078199e-16im,-1.6151166044526848e-16 - 5.898781023651721e-17im,-4.045888161096344e-14 - 1.8902102089902486e-26im,-1.2090129588664823e-17 + 1.8913876043533285e-17im,2.854482909960714e-13 + 3.738477508781583e-13im,2.853421734737364e-13 - 3.7273543167475757e-13im,5.946691047747851e-17 + 1.0489029217919829e-16im,5.149316099709525e-16 - 7.128035795385027e-17im,-7.138228403124472e-16 - 3.7688564945490144e-16im,-5.595966798788192e-16 - 8.810787234637152e-16im,-5.710191193508862e-19 - 1.235022326447322e-18im,5.795176684271295e-19 - 1.28431664097589e-18im,-2.1769724127190355e-19 + 3.946738424883305e-20im,-2.2130585881192368e-20 + 1.9843275414702535e-19im,1.967468176815705e-15 + 1.3036602576946924e-15im
9.425686854204344e-20 - 2.7298674000274854e-19im,-2.3046290960119706e-16 + 4.598155939197341e-16im,1.5752424165918611e-16 - 1.6086400273154915e-16im,1.7672177889646368e-16 - 3.616809039273835e-16im,-9.113555353253818e-17 + 6.981371954217767e-17im,-6.915409250677066e-17 + 2.356481434760798e-16im,-1.2090129588664823e-17 - 2.3737740966987662e-17im,-4.042128128714592e-14 - 8.10124587799169e-27im,-3.4141959949562424e-13 + 3.667041853428928e-13im,4.880724709102427e-13 - 1.129650217977792e-13im,-7.185723098512035e-19 - 2.367807109536888e-18im,-5.188878496137214e-19 - 6.924196998975607e-19im,7.409675318567097e-19 - 3.7158787938710476e-19im,5.083923661365675e-19 + 2.4069733518765867e-20im,-2.488482384826111e-16 + 9.227622163210216e-16im,6.045564635043183e-16 - 1.9972116592826444e-16im,1.8780025755839066e-15 + 2.1253318686435355e-16im,-1.74083516578173e-15 - 1.3954132315350824e-15im,-2.769102712862452e-15 + 1.1195706083722008e-15im
3.0456938870885873e-16 - 3.5005526257227024e-16im,3.324856727600312e-17 + 7.523924213118842e-16im,1.41148025087494e-16 - 2.583003202654796e-16im,2.9845218512555165e-16 - 2.0859207974902703e-16im,-5.919219951926528e-17 + 7.376543868769942e-17im,1.690523783422861e-19 - 2.8528334158396214e-19im,2.854482909960714e-13 - 3.740745706622155e-13im,-3.4141959949562424e-13 - 3.6692163839828785e-13im,-4.02649761916139e-14 - 1.28564101698968e-25im,1.1311611884726324e-12 - 6.454781621318653e-13im,-1.5830128710067772e-16 - 7.656939709614312e-17im,-2.2851081621970546e-16 + 8.51087892408147e-17im,7.08869536924311e-16 + 4.0905873450962436e-16im,6.391385357269132e-16 + 8.261544443448313e-16im,-4.123749423520138e-17 - 4.4245522884128025e-16im,-1.7979836181679763e-16 - 9.802560120469512e-17im,-1.084654905669269e-15 - 2.182478677480061e-16im,8.61272938765133e-16 + 1.2515484355740551e-15im,1.1417164879394052e-15 - 1.6011341174024454e-15im
-4.642692916685124e-16 + 1.9001630394895418e-16im,-5.193627015713174e-16 + 2.2074146342631888e-16im,-1.8037051520962328e-16 + 4.268730628829127e-16im,-2.758933144732649e-16 + 1.9538514762834793e-16im,-1.1365755739084495e-19 - 1.957482776840723e-19im,-1.0201716851744375e-16 - 1.8512794799671804e-16im,2.853421734737364e-13 + 3.7317221689358985e-13im,4.880724709102427e-13 + 1.1274880546085318e-13im,1.1311611884726324e-12 + 6.453443629117453e-13im,-4.026953497404609e-14 - 2.5755678661136853e-26im,-6.181874014241564e-16 - 6.830033484376497e-17im,-1.0927612676924641e-15 + 1.0090116336082999e-16im,2.856206864979288e-16 + 7.107634603495373e-16im,1.3000268545653844e-16 + 1.1077805169858472e-15im,1.7810416724972337e-16 - 4.906420581018179e-16im,3.5476797959264644e-16 + 5.579336106878158e-16im,9.221133184587814e-16 + 1.1917081498927287e-15im,6.355022490610914e-17 - 1.623605013311605e-15im,-1.6780143141796644e-15 - 1.980282925808868e-15im
